as_of_date,product_id,product_name,brand_score,brand_score_status,confidence_index,entry_axis,expansion_axis,convergence_axis,return_axis,basket_axis,basket_top_pair_product_id,brand_score_note
2026-04-18,1000000027,마스코바도 설기,0.004532120212058095,limited,0.23375,0.002602149189876151,0.11500782761547278,0.04417658936191286,0.11764705882352941,0.042228212039532795,1000000042,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
2026-04-18,1000000028,마스코바도 딸기설기,0.0038494177387955854,limited,0.20625000000000002,0.00222072661125578,0.060067608117438574,0.03166773224298391,0.15323369417713925,0.02425876010781671,1000000042,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
2026-04-18,1000000033,가래떡,0.01271715261713797,limited,0.55,0.010611362666699951,0.13745114209087086,0.07348420019729274,0.06382978723404255,0.06558849955076371,1000000035,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
2026-04-18,1000000035,떡국떡 500g,0.03840641426015334,limited,0.55,0.034002723803650166,0.20058222943497608,0.1583334948440104,0.1918835103013164,0.14914645103324348,1000000064,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
2026-04-18,1000000042,약식,0.09243260607474726,provisional,0.6522727272727273,0.08371760449847966,0.3107777374308895,0.4854866406150312,0.14843921457836667,0.42407906558849956,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000043,모듬영양찰떡,0.09506608996249934,provisional,0.5704545454545455,0.08558124412365992,0.2767786572059919,0.40486881395941593,0.3284037223611674,0.48517520215633425,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000044,고구마찰떡,0.06797096442436777,provisional,0.6318181818181818,0.06034633864753185,0.22574301047663212,0.27811114654548336,0.33729822993957426,0.3692722371967655,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000045,완두시루떡,0.22957436511134915,provisional,0.5909090909090909,0.21698329534344438,0.2797818846486167,0.4662685802079743,0.5101409405603751,0.6253369272237197,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000062,흰이티,0.11511955675186063,provisional,0.6522727272727273,0.10948485511930994,0.150312949522266,0.22518278983529166,0.11361523017556009,0.34052111410601976,1000000063,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000063,쑥이티,0.1676097985243899,provisional,0.7954545454545455,0.1601876252684964,0.24527361149215196,0.1634350636044144,0.264718379750164,0.40341419586702604,1000000062,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000064,2색 이티,0.197431875,provisional,1,1,0.28151442307692304,1,0.17668269230769232,1,1000000045,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000065,흰인절미,0.01849038033436375,limited,0.55,0.014041021479702027,0.15266740385711236,0.04352691171972061,0.41542150709418335,0.11590296495956873,1000000064,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
2026-04-18,1000000066,쑥인절미,0.014003812356460608,provisional,0.5704545454545455,0.029014059193868312,0.18051496128089686,0.009861877705884536,0.29932327763414024,0.17160826594788858,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000069,설기세트,0.037460284203159576,provisional,0.6318181818181818,0.038165304343330805,0.13546776190076454,0.034140744763748794,0.15949893473402418,0.18598382749326145,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000070,마스코바도 쑥설기,0.005373234735379916,provisional,0.35715909090909087,0.003659877245882678,0.10126468336408205,0.012836562375736413,0.1291641369439822,0.03863432165318958,1000000043,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000071,마스코바도 호박설기,0.011226947192343661,provisional,0.5496590909090909,0.008023637265913586,0.11863899551637731,0.033592521059507705,0.30265049876626865,0.07097933513027853,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000074,경기 콩약과(10ea),,unavailable,0.04125,0,0,0,0,0.008086253369272238,1000000064,필수 축이 부족해 안정 계산이 불가합니다.
2026-04-18,1000000083,백설기,0.03613274678897375,limited,0.55,0.0315237574010326,0.22565500811434805,0.06539411845060358,0.319805850502194,0.12578616352201258,1000000064,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
2026-04-18,1000000084,십리향 1단 (1호 2호 3호),0.043729145257275136,provisional,0.5909090909090909,0.07908415336069927,0.14228575611546665,0.2131080424893167,0.04033042973794406,0.09164420485175202,1000000085,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000085,십리향 2단 (1호 2호 3호),0.1308729939000661,provisional,0.6113636363636364,0.17730594305752997,0.2976514402094702,0.2390426069702031,0.15866281461059184,0.12488769092542677,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000086,십리향 3단,0.07347378740081432,provisional,0.5909090909090909,0.10854651565563585,0.636366335238421,0.22992322689906328,0.27379006433121983,0.06558849955076371,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000087,백리향 1단 (1호 2호 3호),0.14677779599045554,provisional,0.6522727272727273,0.2485038201962452,0.27738213868511025,0.427261664204492,0.31065694974688807,0.13836477987421383,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000088,백리향 2단 (1호 2호),0.11019573260251146,provisional,0.5704545454545455,0.22078432138792561,0.34820746793690766,0.36750142251202605,0.10541310541310542,0.10332434860736747,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000089,백리향 3단,0.019443628486350784,limited,0.55,0.023261506705951566,0.41877115875706206,0.06669868755273502,0.17092700357431104,0.015274034141958671,1000000086,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
2026-04-18,1000000090,일리향 1단 (1호 2호 3호),0.026010022229782475,provisional,0.5704545454545455,0.06018415133321831,0.10582468416780161,0.1278967674860864,0.0234375,0.11141060197663971,1000000091,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000091,일리향 2단 (1호 2호 3호),0.12580433366682472,provisional,0.5704545454545455,0.18619799266191264,0.24675915334384432,0.2082623387548541,0.1398861413513857,0.12039532794249776,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
