rank,as_of_date,window_key,window_days,period_label,product_id,product_name,product_image_url,priority_level,priority_sort_score,revenue_change_rate_30d,revenue_change_rate,revenue_compare_state,revenue_compare_note,revenue_30d_compare_state,revenue_30d_compare_note,revenue_reason,role_taxonomy,role_reason,role_evidence_status,brand_score_status,brand_score_reason,revenue_freshness_max_date,role_freshness_max_date,brand_revenue_current,brand_revenue_previous,brand_revenue_delta_rate,brand_revenue_30d_current,brand_revenue_30d_previous,brand_revenue_30d_delta_rate
11,2026-04-18,30d,30,최근 30일,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,즉시 확인,96900000,-0.29602774274905425,-0.29602774274905425,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -29.6%,동시구매기여,최근 30일 동시구매기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
12,2026-04-18,7d,7,최근 7일,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,즉시 확인,93100000,,-0.5746173469387755,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -57.5%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.36,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
13,2026-04-18,7d,7,최근 7일,1000000108,매화 2송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000108/image/list/1000000108_list_020.jpg,즉시 확인,88290000,,-0.8428698487992885,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -84.3%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.30,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
14,2026-04-18,7d,7,최근 7일,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,주의 관찰,81350000,,-0.14450919686760152,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -14.5%,첫구매기여,최근 7일 첫구매기여 기준 최근 7일 주요 신호 1.00,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
15,2026-04-18,7d,7,최근 7일,1000000028,마스코바도 딸기설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000028/image/list/1000000028_list_04.jpg,즉시 확인,79800000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -100.0%,반복구매기여,최근 7일 반복구매기여 기준 최근 7일 주요 신호 0.17,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
16,2026-04-18,7d,7,최근 7일,1000000110,매화 3송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/list/1000000110_list_026.jpg,즉시 확인,78300000,,-0.3822335025380711,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -38.2%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.17,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
17,2026-04-18,30d,30,최근 30일,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,주의 관찰,68100000,-0.11678445229681979,-0.11678445229681979,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -11.7%,반복구매기여,최근 30일 반복구매기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
18,2026-04-18,30d,30,최근 30일,1000000177,설 백리향 1단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000177/image/list/1000000177_list_062.jpg,즉시 확인,61600000,-1,-1,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -100.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
19,2026-04-18,30d,30,최근 30일,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,주의 관찰,61560000,-0.11411929259834071,-0.11411929259834071,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -11.4%,반복구매기여,최근 30일 반복구매기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
20,2026-04-18,7d,7,최근 7일,1000000092,일리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,즉시 확인,57600000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -100.0%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.21,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
21,2026-04-18,7d,7,최근 7일,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,즉시 확인,56400000,,-0.6319526627218935,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -63.2%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.11,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
22,2026-04-18,30d,30,최근 30일,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,정상 유지,49300000,-0.02302906048108327,-0.02302906048108327,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -2.3%,첫구매기여,최근 30일 첫구매기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
23,2026-04-18,1d,1,하루 기준,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,즉시 확인,42000000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 -100.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.26,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
24,2026-04-18,7d,7,최근 7일,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,즉시 확인,39000000,,-0.41002277904328016,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -41.0%,동시구매기여,최근 7일 동시구매기여 기준 최근 7일 주요 신호 0.40,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
