rank,as_of_date,window_key,window_days,period_label,product_id,product_name,product_image_url,priority_level,priority_sort_score,revenue_change_rate_30d,revenue_change_rate,revenue_compare_state,revenue_compare_note,revenue_30d_compare_state,revenue_30d_compare_note,revenue_reason,role_taxonomy,role_reason,role_evidence_status,brand_score_status,brand_score_reason,revenue_freshness_max_date,role_freshness_max_date,brand_revenue_current,brand_revenue_previous,brand_revenue_delta_rate,brand_revenue_30d_current,brand_revenue_30d_previous,brand_revenue_30d_delta_rate
42,2026-04-18,30d,30,최근 30일,1000000075,2색절편 4kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000075/image/list/1000000075_list_092.jpg,즉시 확인,11400000,-1,-1,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -100.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
43,2026-04-18,30d,30,최근 30일,1000000156,기원상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000156/image/list/1000000156_list_085.jpg,주의 관찰,10700000,-0.15789473684210525,-0.15789473684210525,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -15.8%,재구매확장기여,최근 30일 재구매확장기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
44,2026-04-18,1d,1,하루 기준,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,즉시 확인,10400000,,-0.7474747474747475,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 -74.7%,동시구매기여,하루 기준 동시구매기여 기준 하루 기준 주요 신호 0.63,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
45,2026-04-18,30d,30,최근 30일,1000000176,설 십리향 2단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000176/image/list/1000000176_list_096.jpg,즉시 확인,9200000,-1,-1,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -100.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
46,2026-04-18,30d,30,최근 30일,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,즉시 확인,9100000,-0.3388888888888889,-0.3388888888888889,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -33.9%,재구매확장기여,최근 30일 재구매확장기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
47,2026-04-18,30d,30,최근 30일,1000000142,경기 미숫가루,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000142/image/list/1000000142_list_011.jpg,즉시 확인,9100000,-0.3630952380952381,-0.3630952380952381,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -36.3%,재구매확장기여,최근 30일 재구매확장기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
48,2026-04-18,30d,30,최근 30일,1000000162,백리향 1단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000162/image/list/1000000087_list_067.jpg,즉시 확인,9100000,-1,-1,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -100.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
49,2026-04-18,1d,1,하루 기준,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,즉시 확인,9050000,,-0.5148936170212766,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 -51.5%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.30,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
50,2026-04-18,7d,7,최근 7일,1000000156,기원상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000156/image/list/1000000156_list_085.jpg,즉시 확인,8800000,,-0.6666666666666666,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -66.7%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.19,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
51,2026-04-18,30d,30,최근 30일,1000000175,설 십리향 1단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000175/image/list/1000000175_list_064.jpg,즉시 확인,8800000,-1,-1,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -100.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
52,2026-04-18,7d,7,최근 7일,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,즉시 확인,8700000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -100.0%,반복구매기여,최근 7일 반복구매기여 기준 최근 7일 주요 신호 0.33,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
53,2026-04-18,7d,7,최근 7일,1000000154,화연상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000154/image/list/1000000154_list_031.jpg,즉시 확인,8560000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -100.0%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.12,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
54,2026-04-18,7d,7,최근 7일,1000000142,경기 미숫가루,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000142/image/list/1000000142_list_011.jpg,즉시 확인,8000000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -100.0%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.15,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
55,2026-04-18,1d,1,하루 기준,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,즉시 확인,7900000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 -100.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.14,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
56,2026-04-18,30d,30,최근 30일,1000000121,깨송편 1kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/list/1000000121_list_089.jpg,즉시 확인,7050000,-0.2956204379562044,-0.2956204379562044,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -29.6%,반복구매기여,최근 30일 반복구매기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
57,2026-04-18,30d,30,최근 30일,1000000042,약식,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,정상 유지,5950000,-0.02819709484477357,-0.02819709484477357,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -2.8%,동시구매기여,최근 30일 동시구매기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
58,2026-04-18,7d,7,최근 7일,1000000074,경기 콩약과(10ea),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000074/image/list/1000000074_list_06.jpg,즉시 확인,5600000,,-0.6666666666666666,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -66.7%,동시구매기여,최근 7일 동시구매기여 기준 최근 7일 주요 신호 0.01,available,unavailable,최근 7일 브랜드 점수 산출 없음,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
59,2026-04-18,7d,7,최근 7일,1000000071,마스코바도 호박설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000071/image/list/1000000071_list_020.jpg,즉시 확인,5300000,,-0.48936170212765956,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -48.9%,반복구매기여,최근 7일 반복구매기여 기준 최근 7일 주요 신호 0.32,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
60,2026-04-18,30d,30,최근 30일,1000000072,마스코바도 흑임자설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000072/image/list/1000000072_list_015.jpg,즉시 확인,5000000,-1,-1,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -100.0%,재구매확장기여,최근 30일 재구매확장기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
61,2026-04-18,7d,7,최근 7일,1000000121,깨송편 1kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/list/1000000121_list_089.jpg,즉시 확인,4900000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -100.0%,반복구매기여,최근 7일 반복구매기여 기준 최근 7일 주요 신호 0.23,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
62,2026-04-18,30d,30,최근 30일,1000000035,떡국떡 500g,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000035/image/list/1000000035_list_093.jpg,즉시 확인,4700000,-0.4722222222222222,-0.4722222222222222,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -47.2%,재구매확장기여,최근 30일 재구매확장기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
63,2026-04-18,30d,30,최근 30일,1000000127,흑임자이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000127/image/list/1000000127_list_053.jpg,정상 유지,1800000,-0.0047100382690609364,-0.0047100382690609364,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -0.5%,동시구매기여,최근 30일 동시구매기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
64,2026-04-18,1d,1,하루 기준,1000000108,매화 2송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000108/image/list/1000000108_list_020.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.29,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
65,2026-04-18,1d,1,하루 기준,1000000110,매화 3송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/list/1000000110_list_026.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.16,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
66,2026-04-18,1d,1,하루 기준,1000000091,일리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000091/image/list/1000000091_list_092.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.25,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
67,2026-04-18,1d,1,하루 기준,1000000089,백리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/list/1000000089_list_027.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.42,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
68,2026-04-18,1d,1,하루 기준,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.64,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
69,2026-04-18,1d,1,하루 기준,1000000084,십리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000084/image/list/1000000084_list_028.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.14,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
70,2026-04-18,1d,1,하루 기준,1000000092,일리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.21,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
71,2026-04-18,1d,1,하루 기준,1000000069,설기세트,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000069/image/list/1000000069_list_033.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,동시구매기여,하루 기준 동시구매기여 기준 하루 기준 주요 신호 0.19,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
72,2026-04-18,1d,1,하루 기준,1000000028,마스코바도 딸기설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000028/image/list/1000000028_list_04.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,반복구매기여,하루 기준 반복구매기여 기준 하루 기준 주요 신호 0.15,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
73,2026-04-18,1d,1,하루 기준,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,동시구매기여,하루 기준 동시구매기여 기준 하루 기준 주요 신호 0.49,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
74,2026-04-18,1d,1,하루 기준,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,반복구매기여,하루 기준 반복구매기여 기준 하루 기준 주요 신호 0.32,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
75,2026-04-18,1d,1,하루 기준,1000000156,기원상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000156/image/list/1000000156_list_085.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.19,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
76,2026-04-18,1d,1,하루 기준,1000000071,마스코바도 호박설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000071/image/list/1000000071_list_020.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,반복구매기여,하루 기준 반복구매기여 기준 하루 기준 주요 신호 0.30,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
77,2026-04-18,1d,1,하루 기준,1000000070,마스코바도 쑥설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000070/image/list/1000000070_list_027.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,반복구매기여,하루 기준 반복구매기여 기준 하루 기준 주요 신호 0.13,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
78,2026-04-18,1d,1,하루 기준,1000000154,화연상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000154/image/list/1000000154_list_031.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.12,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
79,2026-04-18,1d,1,하루 기준,1000000128,흑임자인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/list/1000000128_list_033.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.13,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
80,2026-04-18,1d,1,하루 기준,1000000143,"경기참기름, 경기들기름",https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000143/image/list/1000000143_list_079.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,반복구매기여,하루 기준 반복구매기여 기준 하루 기준 주요 신호 0.12,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
81,2026-04-18,1d,1,하루 기준,1000000142,경기 미숫가루,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000142/image/list/1000000142_list_011.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.14,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
82,2026-04-18,1d,1,하루 기준,1000000065,흰인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000065/image/list/1000000065_list_019.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,반복구매기여,하루 기준 반복구매기여 기준 하루 기준 주요 신호 0.42,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
83,2026-04-18,7d,7,최근 7일,1000000065,흰인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000065/image/list/1000000065_list_019.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 0.0%,반복구매기여,최근 7일 반복구매기여 기준 최근 7일 주요 신호 0.43,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
84,2026-04-18,1d,1,하루 기준,1000000121,깨송편 1kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/list/1000000121_list_089.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,반복구매기여,하루 기준 반복구매기여 기준 하루 기준 주요 신호 0.22,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
85,2026-04-18,1d,1,하루 기준,1000000153,유밀상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000153/image/list/1000000153_list_092.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.12,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
86,2026-04-18,7d,7,최근 7일,1000000153,유밀상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000153/image/list/1000000153_list_092.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 0.0%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.13,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
87,2026-04-18,7d,7,최근 7일,1000000027,마스코바도 설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000027/image/list/1000000027_list_012.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 0.0%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.13,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
88,2026-04-18,1d,1,하루 기준,1000000074,경기 콩약과(10ea),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000074/image/list/1000000074_list_06.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,동시구매기여,하루 기준 동시구매기여 기준 하루 기준 주요 신호 0.01,available,unavailable,하루 기준 브랜드 점수 산출 없음,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
89,2026-04-18,1d,1,하루 기준,1000000035,떡국떡 500g,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000035/image/list/1000000035_list_093.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.20,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
90,2026-04-18,1d,1,하루 기준,1000000155,만복상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000155/image/list/1000000155_list_016.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 0.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
91,2026-04-18,7d,7,최근 7일,1000000155,만복상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000155/image/list/1000000155_list_016.jpg,정상 유지,1000000,,0,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 0.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
92,2026-04-18,30d,30,최근 30일,1000000155,만복상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000155/image/list/1000000155_list_016.jpg,정상 유지,1000000,0,0,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 0.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
