as_of_date,window_days,bii,bhi,clv_norm,customer_strength_norm,stage,baseline_days,confidence
2026-03-05,7,0.11928,0.741971,0.527504,0.304758,Stable,365,High
2026-03-05,30,0.267727,0.741971,0.734255,0.491426,Stable,365,High
2026-03-05,90,0.45609,0.741971,0.932505,0.659193,Stable,365,High
2026-03-05,365,0.546248,0.741971,1.0,0.736212,Stable,365,High
