window_key,period_start,period_end,active_customers_t,repeat_rate_t,attach_rate_t,depth_t,avg_clv_t,clv_t_norm,customer_strength_t_norm,bii_t,stage,scope
BII_1d,2026-02-28,2026-02-28,98,0.0,0.5306122448979592,0.15918367346938775,52366.36734693877,0.6794421175745697,0.01461253072827883,0.007366560362222257,Stable,candidate
BII_7d,2026-02-22,2026-02-28,898,0.011135857461024499,0.5945054945054945,0.1861467485743655,64783.042316258354,0.7557130298547363,0.04783315574799045,0.02682086585908812,Stable,candidate
BII_30d,2026-01-30,2026-02-28,6253,0.10810810810810811,0.7452417876779924,0.29924821197907336,91177.11354549816,0.8965389461624358,0.16003800712302707,0.106458206361605,Stable,candidate
BII_90d,2025-12-01,2026-02-28,14748,0.19677244372118252,0.7159581022797289,0.35252814128874643,104346.66978573365,0.9591036355486542,0.26676361761579714,0.1898361796347946,Stable,candidate
BII_365d,2025-03-01,2026-02-28,73059,0.22108159159035848,0.6407930996237554,0.34699504400037756,113435.11579682174,1.0,0.5890628523344326,0.43706747171020865,Stable,candidate
