date,product_id,product_name,first_customer_cnt,entry_gravity_score,entry_gravity_primary_type,expansion_gravity_score,expansion_gravity_primary_type,revenue_90d,convergence_gravity_score,return_gravity_score,return_customer_rate_90d,return_loop_rate_90d,simple_repeat_rate_90d,distinct_source_product_cnt_90d,scored_observed_flag,demand_observed_flag
2026-04-06,1000000027,마스코바도 설기,15,0.0008007556775097137,Qualified,0.11115088214237276,Core,3216920,0.02151946342077154,0,0,0,0.13333333333333333,7,true,true
2026-04-06,1000000028,마스코바도 딸기설기,14,0.0006942440914142006,None,0.014191109250605101,None,3204840,0.015214510743606895,0.08415078818779867,0.07142857142857142,0.07142857142857142,0.07142857142857142,6,true,true
2026-04-06,1000000033,가래떡(40개) 4kg,46,0.00742633125536641,None,0.06787423160687867,None,6815500,0.06574965208350997,0,0,0,0.06521739130434782,9,true,true
2026-04-06,1000000035,떡국떡 500g,77,0.02840763783349637,None,0.12643485772012616,None,21966100,0.11978699671331852,0.1662839763011776,0.03896103896103896,0.03896103896103896,0.012987012987012988,12,true,true
2026-04-06,1000000042,약식,188,0.07632876274664893,Qualified,0.48889125283112866,Scale,36574640,0.3935904810416066,0.13923437139460854,0.02127659574468085,0.026595744680851064,0.11702127659574468,20,true,true
2026-04-06,1000000043,모듬영양찰떡,194,0.07690868679029218,None,0.18305639730414305,None,35854580,0.3446964091852257,0.3419395530794667,0.04639175257731959,0.07216494845360824,0.061855670103092786,19,true,true
2026-04-06,1000000044,고구마찰떡,142,0.0524435917678477,None,0.14456767707597667,None,28061540,0.22739311330083953,0.35201779001405076,0.056338028169014086,0.07746478873239436,0.028169014084507043,17,true,true
2026-04-06,1000000045,완두시루떡,311,0.21622292169405913,Broad,0.1937002615822669,None,101158040,0.4137526354004412,0.49306312862271867,0.06109324758842444,0.08681672025723473,0.06430868167202572,23,true,true
2026-04-06,1000000062,흰이티,240,0.1019041062853333,Broad,0.02442879075965854,None,44132400,0.22875808217870938,0.10636948504688677,0.016666666666666666,0.016666666666666666,0.025,11,true,true
2026-04-06,1000000063,쑥이티,297,0.1511098176712658,Broad,0.14082039399662422,None,64541180,0.17767638783249476,0.22828437971635004,0.03367003367003367,0.03367003367003367,0.037037037037037035,12,true,true
2026-04-06,1000000064,2색 이티,1660,1,Broad,0.1104387966065445,None,249294240,1,0.17419678714859438,0.01566265060240964,0.019879518072289156,0.08132530120481928,31,true,true
2026-04-06,1000000065,흰인절미,50,0.010986710793700937,None,0.07672569099659875,None,10244100,0.03444277592330294,0.335593584626801,0.08,0.12,0.02,4,true,true
