product_id,order_cnt,attach_order_cnt,attach_rate,median_cart_size,breadth_lift,volume_raw,companion_cnt,top1_share,top3_share,co_order_total,top_pair_product_id,basket_pair_rows,distinct_member_cnt,quantity_sum,payment_amount_sum,raw_basket_pair_rows,raw_basket_top_pair_product_id,raw_basket_signal_score,parity_score,parity_level,reconstruction_level,limitation_reason,volume_weight,CA_Core,CA_Pair,CA_Set,CA_Primary_Type,Basket_Gravity_Primary_Type,basket_signal_score
1000000084,55,35,0.6363636363636364,2,1,4.02535169073515,15,0.16981132075471697,0.41509433962264153,53,1000000087,15,35,343,9602500,642,1000000085,0.09034161064617917,0.015576323987538906,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.5344018849563604,false,false,false,None,None,0.10663983903420524
1000000111,178,30,0.16853932584269662,1,0,5.187385805840755,17,0.20833333333333334,0.4583333333333333,48,1000000064,17,91,8529,60139900,638,1000000064,0.08759775003429826,0.35109717868338564,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.7207629620150372,false,false,false,None,None,0.096579476861167
1000000128,26,25,0.9615384615384616,3,2,3.295836866004329,16,0.24615384615384617,0.4461538461538462,65,1000000064,16,20,27,787500,802,1000000064,0.12121004252983948,0.3466334164588529,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.4174060354371299,false,false,false,None,None,0.13078470824949698
1000000045,147,123,0.8367346938775511,3,2,4.997212273764115,29,0.21201413427561838,0.42402826855123676,283,1000000064,29,87,198,6443000,994,1000000064,0.6277953079983537,0.3527833668678739,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.6902639053994449,false,false,false,None,None,0.5694164989939637
1000000065,14,14,1,3,2,2.70805020110221,18,0.21951219512195122,0.4634146341463415,41,1000000064,18,11,14,380000,664,1000000064,0.1164768829743449,0.35140562248995977,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.32313982196892077,false,false,false,None,None,0.08249496981891348
1000000066,41,34,0.8292682926829268,3,2,3.7376696182833684,19,0.20987654320987653,0.38271604938271603,81,1000000064,19,30,46,1410000,688,1000000064,0.16970777884483468,0.3517441860465116,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.48826490827412766,false,false,false,None,None,0.16297786720321933
1000000143,9,8,0.8888888888888888,2,1,2.302585092994046,12,0.15789473684210525,0.42105263157894735,19,1000000043,12,7,66,2379000,482,1000000064,0.04335299766771848,0.016597510373443997,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.2581134055543879,false,false,false,None,None,0.03822937625754527
1000000153,27,14,0.5185185185185185,2,1,3.332204510175204,2,0.5714285714285714,1,14,1000000156,2,20,35,956000,52,1000000156,0.019618603374948553,0.35897435897435886,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.4232384918595947,false,false,false,None,None,0.028169014084507043
1000000154,15,9,0.6,2,1,2.772588722239781,2,0.6666666666666666,1,9,1000000153,2,11,18,490400,46,1000000153,0.00425298394841542,0.36231884057971014,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.33349017929029673,false,false,false,None,None,0.018108651911468814
1000000127,129,115,0.8914728682170543,2,1,4.867534450455582,22,0.3127962085308057,0.6350710900473934,211,1000000064,22,90,167,6845500,826,1000000064,0.42564137741802716,0.351089588377724,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.6694668405729906,false,false,false,None,None,0.4245472837022133
