date,product_id,product_name,entry_axis,expansion_axis,convergence_axis,return_axis,basket_axis,brand_first_customer_cnt,structural_active_order_cnt,latest_order_date,basket_pair_rows,basket_top_pair_product_id
2026-04-06,1000000027,마스코바도 설기,0.0008007556775097137,0.11115088214237276,0.02151946342077154,0.13333333333333333,0.03992317190286734,15,6,2026-03-09,534,1000000042
2026-04-06,1000000028,마스코바도 딸기설기,0.0006942440914142006,0.014191109250605101,0.015214510743606895,0.08415078818779867,0.02407737686925504,14,1,2026-02-15,414,1000000071
2026-04-06,1000000033,가래떡(40개) 4kg,0.00742633125536641,0.06787423160687867,0.06574965208350997,0.06521739130434782,0.06605844423103306,46,23,2026-03-02,560,1000000035
2026-04-06,1000000035,떡국떡 500g,0.02840763783349637,0.12643485772012616,0.11978699671331852,0.1662839763011776,0.1485114556180546,77,42,2026-03-12,742,1000000064
2026-04-06,1000000042,약식,0.07632876274664893,0.48889125283112866,0.3935904810416066,0.13923437139460854,0.4242008505967897,188,83,2026-03-21,908,1000000064
2026-04-06,1000000043,모듬영양찰떡,0.07690868679029218,0.18305639730414305,0.3446964091852257,0.3419395530794667,0.4827136781451502,194,96,2026-03-20,942,1000000064
2026-04-06,1000000044,고구마찰떡,0.0524435917678477,0.14456767707597667,0.22739311330083953,0.35201779001405076,0.36657977774729045,142,83,2026-03-22,780,1000000064
2026-04-06,1000000045,완두시루떡,0.21622292169405913,0.1937002615822669,0.4137526354004412,0.49306312862271867,0.6277953079983537,311,157,2026-03-22,994,1000000064
2026-04-06,1000000062,흰이티,0.1019041062853333,0.02442879075965854,0.22875808217870938,0.10636948504688677,0.33879818905199616,240,125,2026-03-22,942,1000000063
2026-04-06,1000000063,쑥이티,0.1511098176712658,0.14082039399662422,0.17767638783249476,0.22828437971635004,0.40519961585951436,297,153,2026-03-22,1000,1000000062
2026-04-06,1000000064,2색 이티,1,0.1104387966065445,1,0.17419678714859438,1,1660,1080,2026-03-22,1018,1000000045
2026-04-06,1000000065,흰인절미,0.010986710793700937,0.07672569099659875,0.03444277592330294,0.335593584626801,0.1164768829743449,50,14,2026-03-12,664,1000000064
2026-04-06,1000000066,쑥인절미,0.022783789196818508,0.07801067371581386,0.03429015077713736,0.2730373580053484,0.16970777884483468,86,43,2026-03-20,688,1000000064
2026-04-06,1000000069,설기세트,0.03423683651385458,0.03624599631519141,0.02889630862354472,0.20613040571121868,0.19049252297983263,103,44,2026-03-21,736,1000000064
2026-04-06,1000000070,마스코바도 쑥설기,0.0018903363707075149,0.04211171272884761,0.008440038922683421,0.0895204962411981,0.0401289614487584,23,13,2026-03-20,466,1000000043
