date,product_id,product_name,revenue,order_count,cart_count,role_observed_flag,first_customer_cnt,entry_gravity_score,expansion_gravity_score,convergence_gravity_score,return_gravity_score
2026-03-20,1000000042,,90000,3,3,false,0,0,0,0,0
2026-03-20,1000000043,,22500,1,1,false,0,0,0,0,0
2026-03-20,1000000045,,60000,1,1,false,0,0,0,0,0
2026-03-20,1000000062,,42000,2,1,false,0,0,0,0,0
2026-03-20,1000000063,,250500,5,2,false,0,0,0,0,0
2026-03-20,1000000064,,517500,10,8,false,0,0,0,0,0
2026-03-20,1000000066,,22500,1,0,false,0,0,0,0,0
2026-03-20,1000000069,,94840,2,2,false,0,0,0,0,0
2026-03-20,1000000070,,20000,1,0,false,0,0,0,0,0
2026-03-20,1000000071,,20000,1,0,false,0,0,0,0,0
2026-03-20,1000000084,,0,0,1,false,0,0,0,0,0
2026-03-20,1000000085,,51000,1,0,false,0,0,0,0,0
2026-03-20,1000000086,,77000,1,1,false,0,0,0,0,0
2026-03-20,1000000087,,0,0,2,false,0,0,0,0,0
2026-03-20,1000000088,,120000,1,0,false,0,0,0,0,0
2026-03-20,1000000090,,180000,1,3,false,0,0,0,0,0
2026-03-20,1000000091,,102000,2,2,false,0,0,0,0,0
2026-03-20,1000000093,,1249400,6,1,false,0,0,0,0,0
2026-03-20,1000000108,,469200,1,0,false,0,0,0,0,0
2026-03-20,1000000127,,23500,1,1,false,0,0,0,0,0
2026-03-20,1000000128,,0,0,1,false,0,0,0,0,0
2026-03-20,1000000142,,19000,1,0,false,0,0,0,0,0
2026-03-21,1000000042,,87500,1,1,false,0,0,0,0,0
2026-03-21,1000000045,,0,0,1,false,0,0,0,0,0
2026-03-21,1000000062,,21000,1,0,false,0,0,0,0,0
2026-03-21,1000000063,,46000,1,0,false,0,0,0,0,0
2026-03-21,1000000064,,218000,3,3,false,0,0,0,0,0
2026-03-21,1000000066,,0,0,1,false,0,0,0,0,0
2026-03-21,1000000069,,57840,2,1,false,0,0,0,0,0
2026-03-21,1000000085,,54500,1,0,false,0,0,0,0,0
2026-03-21,1000000087,,293000,3,0,false,0,0,0,0,0
2026-03-21,1000000088,,116000,1,0,false,0,0,0,0,0
2026-03-21,1000000092,,74000,2,0,false,0,0,0,0,0
2026-03-21,1000000093,,47000,1,0,false,0,0,0,0,0
2026-03-21,1000000108,,936500,3,1,false,0,0,0,0,0
2026-03-21,1000000110,,1242000,1,0,false,0,0,0,0,0
2026-03-21,1000000112,,230000,1,0,false,0,0,0,0,0
2026-03-21,1000000127,,69500,1,2,false,0,0,0,0,0
2026-03-21,1000000143,,59000,1,0,false,0,0,0,0,0
2026-03-22,1000000042,,0,0,1,false,0,0,0,0,0
2026-03-22,1000000043,,0,0,1,false,0,0,0,0,0
2026-03-22,1000000044,,132500,2,0,false,0,0,0,0,0
2026-03-22,1000000045,,40000,1,2,false,0,0,0,0,0
2026-03-22,1000000062,,21000,1,0,false,0,0,0,0,0
2026-03-22,1000000063,,206500,5,2,false,0,0,0,0,0
2026-03-22,1000000064,,193000,4,4,false,0,0,0,0,0
2026-03-22,1000000069,,0,0,1,false,0,0,0,0,0
2026-03-22,1000000084,,88000,2,0,false,0,0,0,0,0
2026-03-22,1000000085,,109000,1,0,false,0,0,0,0,0
2026-03-22,1000000086,,77000,1,0,false,0,0,0,0,0
2026-03-22,1000000087,,130000,1,0,false,0,0,0,0,0
2026-03-22,1000000088,,0,0,1,false,0,0,0,0,0
2026-03-22,1000000094,,221000,2,0,false,0,0,0,0,0
2026-03-22,1000000108,,517500,2,0,false,0,0,0,0,0
2026-03-22,1000000111,,700000,1,0,false,0,0,0,0,0
2026-03-22,1000000127,,159500,3,1,false,0,0,0,0,0
2026-03-22,1000000128,,22500,1,1,false,0,0,0,0,0
2026-03-23,1000000033,,0,0,1,false,0,0,0,0,0
2026-03-23,1000000042,,90000,3,3,false,0,0,0,0,0
2026-03-23,1000000043,,45000,2,1,false,0,0,0,0,0
2026-03-23,1000000044,,45000,2,0,false,0,0,0,0,0
2026-03-23,1000000045,,214000,4,2,false,0,0,0,0,0
2026-03-23,1000000062,,0,0,4,false,0,0,0,0,0
2026-03-23,1000000063,,69500,2,1,false,0,0,0,0,0
2026-03-23,1000000064,,565000,11,5,false,0,0,0,0,0
2026-03-23,1000000066,,67500,2,2,false,0,0,0,0,0
2026-03-23,1000000069,,18920,1,1,false,0,0,0,0,0
2026-03-23,1000000070,,20000,1,0,false,0,0,0,0,0
2026-03-23,1000000071,,0,0,1,false,0,0,0,0,0
2026-03-23,1000000083,,45000,1,0,false,0,0,0,0,0
2026-03-23,1000000084,,419000,2,0,false,0,0,0,0,0
2026-03-23,1000000085,,256500,5,0,false,0,0,0,0,0
2026-03-23,1000000086,,77000,1,0,false,0,0,0,0,0
2026-03-23,1000000087,,179000,3,1,false,0,0,0,0,0
2026-03-23,1000000088,,1172000,3,0,false,0,0,0,0,0
2026-03-23,1000000089,,341000,2,0,false,0,0,0,0,0
2026-03-23,1000000090,,78000,2,0,false,0,0,0,0,0
2026-03-23,1000000091,,1402000,2,0,false,0,0,0,0,0
2026-03-23,1000000092,,76000,1,0,false,0,0,0,0,0
2026-03-23,1000000093,,971200,5,0,false,0,0,0,0,0
2026-03-23,1000000094,,198000,1,1,false,0,0,0,0,0
2026-03-23,1000000108,,506000,3,1,false,0,0,0,0,0
2026-03-23,1000000111,,210000,1,0,false,0,0,0,0,0
2026-03-23,1000000112,,460000,1,0,false,0,0,0,0,0
2026-03-23,1000000113,,864000,2,1,false,0,0,0,0,0
2026-03-23,1000000127,,93000,3,0,false,0,0,0,0,0
2026-03-23,1000000128,,67500,2,0,false,0,0,0,0,0
2026-03-23,1000000142,,19000,1,0,false,0,0,0,0,0
2026-03-24,1000000042,,87500,1,1,false,0,0,0,0,0
2026-03-24,1000000043,,22500,1,2,false,0,0,0,0,0
2026-03-24,1000000044,,87500,1,2,false,0,0,0,0,0
2026-03-24,1000000045,,40000,1,3,false,0,0,0,0,0
2026-03-24,1000000062,,261000,2,1,false,0,0,0,0,0
2026-03-24,1000000063,,113500,2,4,false,0,0,0,0,0
2026-03-24,1000000064,,645000,11,11,false,0,0,0,0,0
2026-03-24,1000000066,,180000,4,1,false,0,0,0,0,0
2026-03-24,1000000083,,180000,3,0,false,0,0,0,0,0
2026-03-24,1000000085,,214500,3,0,false,0,0,0,0,0
2026-03-24,1000000087,,187000,2,0,false,0,0,0,0,0
2026-03-24,1000000088,,461000,3,0,false,0,0,0,0,0
2026-03-24,1000000089,,840000,1,0,false,0,0,0,0,0
2026-03-24,1000000092,,38000,1,0,false,0,0,0,0,0
2026-03-24,1000000093,,737900,4,6,false,0,0,0,0,0
2026-03-24,1000000094,,198000,1,0,false,0,0,0,0,0
2026-03-24,1000000108,,1305000,2,0,false,0,0,0,0,0
2026-03-24,1000000111,,390500,1,0,false,0,0,0,0,0
2026-03-24,1000000112,,1173000,2,0,false,0,0,0,0,0
2026-03-24,1000000113,,2300000,3,0,false,0,0,0,0,0
2026-03-24,1000000127,,209500,4,2,false,0,0,0,0,0
2026-03-24,1000000153,,28600,1,1,false,0,0,0,0,0
2026-03-24,1000000154,,0,0,1,false,0,0,0,0,0
2026-03-25,1000000033,,0,0,3,false,0,0,0,0,0
2026-03-25,1000000035,,0,0,2,false,0,0,0,0,0
2026-03-25,1000000042,,67500,2,1,false,0,0,0,0,0
2026-03-25,1000000043,,0,0,2,false,0,0,0,0,0
2026-03-25,1000000045,,214000,4,1,false,0,0,0,0,0
2026-03-25,1000000062,,80000,1,4,false,0,0,0,0,0
