as_of_date,window_days,role_state_primary,role_label,product_id,product_name,image_url,detail_url,window_revenue,share_in_role,share_in_brand_window,role_rank,revenue_source
2026-04-17,30,entry,첫구매 유도,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000093,26995400,0.5613936580821188,0.26844240084086507,1,window_metric_latest_snapshot
2026-04-17,30,entry,첫구매 유도,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000064,21091000,0.43860634191788117,0.2097290159114029,2,window_metric_latest_snapshot
2026-04-17,30,expansion,단골 유도,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000088,7768000,0.39628609325579023,0.07724503321794972,1,window_metric_latest_snapshot
2026-04-17,30,expansion,단골 유도,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000094,5053500,0.2578053259871442,0.05025203081448364,2,window_metric_latest_snapshot
2026-04-17,30,expansion,단골 유도,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000085,4118500,0.21010611162126314,0.04095438585326029,3,window_metric_latest_snapshot
2026-04-17,30,expansion,단골 유도,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000086,2662000,0.13580246913580246,0.026470942124894717,4,window_metric_latest_snapshot
2026-04-17,30,return,반복 구매,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000063,3272500,0.4344507135745104,0.03254175736428173,1,window_metric_latest_snapshot
2026-04-17,30,return,반복 구매,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000045,2256000,0.29950215731828744,0.0224336759706095,2,window_metric_latest_snapshot
2026-04-17,30,return,반복 구매,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000044,1402000,0.18612678393627613,0.013941495439181967,3,window_metric_latest_snapshot
2026-04-17,30,return,반복 구매,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000083,602000,0.07992034517092599,0.005986291194284982,4,window_metric_latest_snapshot
2026-04-17,30,convergence,구매 집중,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000087,4855000,0.5127257366142148,0.048278145761218576,1,window_metric_latest_snapshot
2026-04-17,30,convergence,구매 집중,1000000062,흰이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000062,2167500,0.2289048473967684,0.02155363150101777,2,window_metric_latest_snapshot
2026-04-17,30,convergence,구매 집중,1000000042,약식,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000042,1678500,0.17726264653078466,0.016691012906324486,3,window_metric_latest_snapshot
