period,card_key,label,value,delta,reason,as_of_date,support_window_days
monthly,revenue_30d,직전 30일 매출,158531220,-0.09408712537022254,기준일 당일 미포함 30일 rolling 매출입니다.,2026-04-17,30
monthly,revenue_90d_reference,직전 90일 참조 매출,639492700,0.1515312082565172,Monthly는 30일을 본체로 보고 90일을 구조 비교 reference로 사용합니다.,2026-04-17,90
monthly,top_share,상위 상품 집중도,0.22123567770695943,,집중도가 높으면 단기 매출이 좋아도 구조 리스크로 해석합니다.,2026-04-17,30
monthly,coverage,역할 관측 안정도,1,,Role state blank rule은 구조적 해석 공백을 그대로 보여 주기 위한 안전장치입니다.,2026-04-17,30
