product_id,product_name,product_name_source,image_url,detail_url,product_status,profile_role_primary,profile_role_secondary,profile_confidence,role_state_primary,role_state_confidence,pgm_observed_flag,role_state_source,role_history_mode,role_history_mode_label,role_history_warning_level,role_history_warning_title,role_history_warning_copy,revenue,order_count,quantity,revenue_share_in_brand_day,revenue_rank_in_brand_day,revenue_7d,revenue_30d,revenue_90d,revenue_day_over_day_change_rate,top_transition_target_id,top_transition_target_name,top_transition_rate,qualified_return_rate,return_loop_rate,simple_repeat_rate,as_of_date
1000000045,완두시루떡,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000045,selling,return,convergence,0.3520808351471089,return,0.3520808351471089,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",99000,1,1,0.03647349224477766,11,399000,2256000,7188000,0.98,,,,0,0,1,2026-04-17
1000000086,십리향 3단,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000086,selling,expansion,return,0.5185911746224172,expansion,0.5185911746224172,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",87000,1,1,0.0320524628817743,12,341000,2662000,7843000,,1000000086,십리향 3단,0.10606060606060606,,,,2026-04-17
1000000033,가래떡,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000033,selling,프로필 정보 없음,,,관측 상태 없음,,false,blank,partial_same_date,partial same-date coverage,caution,"최근 확정일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.",49000,1,1,0.01805253656559702,13,49000,119000,1064000,,,,,,,,2026-04-17
1000000062,흰이티,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000062,selling,convergence,expansion,0.40953303025439153,convergence,0.40953303025439153,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",26500,1,1,0.009763106509965737,14,131500,2167500,11524500,,,,,,,,2026-04-17
1000000042,약식,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000042,selling,convergence,expansion,0.45017959674962343,convergence,0.45017959674962343,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",0,0,0,0,15,373000,1678500,4889500,-1,1000000042,약식,0.11052631578947368,0,0,1,2026-04-17
1000000043,모듬영양찰떡,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000043,selling,convergence,return,0.35194569607693627,convergence,0.35194569607693627,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",0,0,0,0,16,100000,768000,3675000,,,,,0,0,1,2026-04-17
1000000074,경기 콩약과(10ea),product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000074/image/list/1000000074_list_06.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000074,selling,프로필 정보 없음,,,관측 상태 없음,,false,blank,partial_same_date,partial same-date coverage,caution,"최근 확정일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.",0,0,0,0,17,13000,52000,52000,,,,,,,,2026-04-17
1000000083,백설기,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000083,selling,return,expansion,0.49572323485785236,return,0.49572323485785236,true,same_date_snapshot,same_date_observed,same-date observed,none,최근 확정일 역할 분해는 same-date 관측 기준입니다.,"기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 실매출 비교와 역할 분해를 같은 기간 창으로 함께 읽어도 됩니다.",0,0,0,0,18,19000,602000,1052000,,,,,1,1,0,2026-04-17
1000000090,일리향 1단 (1호 2호 3호),product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000090,selling,프로필 정보 없음,,,관측 상태 없음,,false,blank,partial_same_date,partial same-date coverage,caution,"최근 확정일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.",0,0,0,0,19,283000,2218000,8367000,,,,,,,,2026-04-17
1000000092,일리향 3단,product_master,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000092,selling,프로필 정보 없음,,,관측 상태 없음,,false,blank,partial_same_date,partial same-date coverage,caution,"최근 확정일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.",0,0,0,0,20,0,2673000,7924000,,,,,,,,2026-04-17
