product_id,product_name,price,retail_price,category_id_list,detail_url,list_image,is_display,is_selling,is_sold_out,created_at,updated_at,mx_channel_id,mx_platform
1000000068,찰떡세트,18400.000000,0.000000,,https://kricecake.com/goods/goods_view.php?goodsNo=1000000068,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000068/image/list/1000000068_list_08.jpg,true,true,true,2020-06-25 14:43:41.000 UTC,2021-01-06 06:10:41.000 UTC,567375433033637313,GODOMALL5
1000000069,설기세트,24000.000000,27000.000000,"[""013""]",https://kricecake.com/goods/goods_view.php?goodsNo=1000000069,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000069/image/list/1000000069_list_033.jpg,true,true,false,2020-06-25 14:46:36.000 UTC,2026-04-05 10:08:52.000 UTC,567375433033637313,GODOMALL5
1000000070,마스코바도 쑥설기,24000.000000,27000.000000,"[""013"",""011""]",https://kricecake.com/goods/goods_view.php?goodsNo=1000000070,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000070/image/list/1000000070_list_027.jpg,true,true,false,2020-06-25 14:49:04.000 UTC,2026-04-05 10:08:25.000 UTC,567375433033637313,GODOMALL5
1000000071,마스코바도 호박설기,24000.000000,27000.000000,"[""013"",""011""]",https://kricecake.com/goods/goods_view.php?goodsNo=1000000071,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000071/image/list/1000000071_list_020.jpg,true,true,false,2020-06-25 14:49:32.000 UTC,2026-04-05 10:10:03.000 UTC,567375433033637313,GODOMALL5
1000000072,마스코바도 흑임자설기,24000.000000,27000.000000,"[""013"",""011""]",https://kricecake.com/goods/goods_view.php?goodsNo=1000000072,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000072/image/list/1000000072_list_015.jpg,true,true,false,2020-06-25 14:49:57.000 UTC,2026-04-05 10:10:23.000 UTC,567375433033637313,GODOMALL5
1000000074,경기 콩약과(10ea),13000.000000,13000.000000,"[""007"",""009"",""011""]",https://kricecake.com/goods/goods_view.php?goodsNo=1000000074,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000074/image/list/1000000074_list_06.jpg,true,true,false,2020-06-25 14:52:00.000 UTC,2026-04-03 15:22:38.000 UTC,567375433033637313,GODOMALL5
1000000075,2색절편 4kg,42000.000000,0.000000,"[""010"",""011""]",https://kricecake.com/goods/goods_view.php?goodsNo=1000000075,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000075/image/list/1000000075_list_092.jpg,false,true,false,2020-06-25 14:53:00.000 UTC,2025-06-14 04:13:27.000 UTC,567375433033637313,GODOMALL5
1000000076,쑥절편 4kg,45000.000000,0.000000,"[""010"",""011""]",https://kricecake.com/goods/goods_view.php?goodsNo=1000000076,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000076/image/list/1000000076_list_050.jpg,false,true,false,2020-06-25 14:54:15.000 UTC,2025-06-14 04:13:39.000 UTC,567375433033637313,GODOMALL5
1000000077,흰절편 4kg,40000.000000,0.000000,"[""010"",""011""]",https://kricecake.com/goods/goods_view.php?goodsNo=1000000077,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000077/image/list/1000000077_list_099.jpg,false,true,false,2020-06-25 14:54:40.000 UTC,2025-06-14 04:14:39.000 UTC,567375433033637313,GODOMALL5
1000000079,수수떡(2색) 1kg,45000.000000,0.000000,"[""010"",""011""]",https://kricecake.com/goods/goods_view.php?goodsNo=1000000079,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000079/image/list/1000000079_list_070.jpg,false,false,true,2020-06-25 15:00:58.000 UTC,2024-01-27 00:32:01.000 UTC,567375433033637313,GODOMALL5
