order_id,order_at,product_id,member_id,event_type,quantity,payment_amount
2603200940262927,2026-03-20 00:40:26.000 UTC,1000000062,63071,purchase,1,21000.000000
2603200940262927,2026-03-20 00:40:26.000 UTC,1000000070,63071,purchase,1,20000.000000
2603200940262927,2026-03-20 00:40:26.000 UTC,1000000071,63071,purchase,1,20000.000000
2603200942017448,2026-03-20 00:42:01.000 UTC,1000000062,63071,purchase,1,21000.000000
2603200942017448,2026-03-20 00:42:01.000 UTC,1000000070,63071,purchase,1,20000.000000
2603200942017448,2026-03-20 00:42:01.000 UTC,1000000071,63071,purchase,1,20000.000000
2603201003482979,2026-03-20 01:03:48.000 UTC,1000000093,66416,purchase,40,188000.000000
2603201029189270,2026-03-20 01:29:19.000 UTC,1000000064,66419,purchase,2,170000.000000
2603201029189270,2026-03-20 01:29:19.000 UTC,1000000142,66419,purchase,1,19000.000000
2603201103244701,2026-03-20 02:03:24.000 UTC,1000000064,61251,purchase,1,22000.000000
2603201103244701,2026-03-20 02:03:24.000 UTC,1000000069,61251,purchase,1,18920.000000
2603201103244701,2026-03-20 02:03:24.000 UTC,1000000091,61251,purchase,1,25500.000000
2603201146234722,2026-03-20 02:46:23.000 UTC,1000000042,66425,purchase,1,45000.000000
2603201146234722,2026-03-20 02:46:23.000 UTC,1000000063,66425,purchase,1,23500.000000
2603201252090533,2026-03-20 03:52:09.000 UTC,1000000064,66429,purchase,1,22000.000000
2603201253572814,2026-03-20 03:53:57.000 UTC,1000000064,66429,purchase,1,22000.000000
2603201308071315,2026-03-20 04:08:07.000 UTC,1000000063,15859,purchase,1,90000.000000
2603201308071315,2026-03-20 04:08:07.000 UTC,1000000069,15859,purchase,1,75920.000000
2603201317298376,2026-03-20 04:17:29.000 UTC,1000000064,66325,purchase,1,22000.000000
2603201317298376,2026-03-20 04:17:29.000 UTC,1000000085,66325,purchase,1,51000.000000
2603201317298376,2026-03-20 04:17:29.000 UTC,1000000086,66325,purchase,1,77000.000000
2603201328118047,2026-03-20 04:28:11.000 UTC,1000000063,0,purchase,1,90000.000000
2603201407074628,2026-03-20 05:07:07.000 UTC,1000000042,66420,purchase,1,22500.000000
2603201407074628,2026-03-20 05:07:07.000 UTC,1000000043,66420,purchase,1,22500.000000
2603201407074628,2026-03-20 05:07:07.000 UTC,1000000064,66420,purchase,1,22000.000000
2603201407074628,2026-03-20 05:07:07.000 UTC,1000000066,66420,purchase,1,22500.000000
2603201419309799,2026-03-20 05:19:31.000 UTC,1000000093,66427,purchase,23,108100.000000
2603201512358700,2026-03-20 06:12:35.000 UTC,1000000064,62191,purchase,1,43000.000000
2603201523127451,2026-03-20 06:23:12.000 UTC,1000000045,18197,purchase,1,20000.000000
2603201523127451,2026-03-20 06:23:12.000 UTC,1000000045,18197,purchase,1,40000.000000
2603201523127451,2026-03-20 06:23:12.000 UTC,1000000064,18197,purchase,1,22000.000000
2603201523127451,2026-03-20 06:23:12.000 UTC,1000000064,18197,purchase,1,43000.000000
2603201612320662,2026-03-20 07:12:32.000 UTC,1000000090,0,purchase,15,180000.000000
2603201631447133,2026-03-20 07:31:44.000 UTC,1000000108,66436,purchase,102,469200.000000
2603201718127024,2026-03-20 08:18:12.000 UTC,1000000064,66438,purchase,1,43000.000000
2603202231518715,2026-03-20 13:31:51.000 UTC,1000000042,66425,purchase,1,45000.000000
2603202231518715,2026-03-20 13:31:51.000 UTC,1000000063,66425,purchase,1,23500.000000
2603202234377126,2026-03-20 13:34:37.000 UTC,1000000064,66442,purchase,1,86500.000000
