product_id,product_name,brand_name,product_status,list_image,detail_image,detail_url,additional_image_1
1000000072,마스코바도 흑임자설기,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000072/image/list/1000000072_list_015.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000072/image/detail/1000000072_detail_049.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000072,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000072/image/main/1000000072_main_053.jpg
1000000074,경기 콩약과(10ea),GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000074/image/list/1000000074_list_06.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000074/image/detail/1000000074_detail_021.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000074,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000074/image/main/1000000074_main_029.jpg
1000000083,백설기,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/detail/1000000083_detail_06.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000083,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/main/1000000083_main_038.jpg
1000000085,십리향 2단 (1호 2호 3호),GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/detail/1000000085_detail_398.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000085,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/main/1000000085_main_092.jpg
1000000086,십리향 3단,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/detail/1000000086_detail_372.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000086,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/main/1000000086_main_038.jpg
1000000087,백리향 1단 (1호 2호 3호),GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/detail/1000000087_detail_375.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000087,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/main/1000000087_main_097.jpg
1000000088,백리향 2단 (1호 2호),GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/detail/1000000088_detail_391.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000088,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/main/1000000088_main_030.jpg
1000000089,백리향 3단,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/list/1000000089_list_027.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/detail/1000000089_detail_346.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000089,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/main/1000000089_main_096.jpg
1000000090,일리향 1단 (1호 2호 3호),GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/detail/1000000090_detail_3100.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000090,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/main/1000000090_main_015.jpg
1000000091,일리향 2단 (1호 2호 3호),GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000091/image/list/1000000091_list_092.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000091/image/detail/1000000091_detail_394.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000091,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000091/image/main/1000000091_main_098.jpg
1000000092,일리향 3단,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/detail/1000000092_detail_357.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000092,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/main/1000000092_main_018.jpg
1000000093,매화 2송이 1호,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/detail/1000000093_detail_121.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000093,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/main/1000000093_main_08.jpg
1000000094,매화 3송이 1호,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/detail/1000000094_detail_115.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000094,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/main/1000000094_main_093.jpg
1000000108,매화 2송이 2호,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000108/image/list/1000000108_list_020.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000108/image/detail/1000000108_detail_16.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000108,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000108/image/main/1000000108_main_01.jpg
1000000110,매화 3송이 2호,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/list/1000000110_list_026.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/detail/1000000110_detail_140.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000110,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/main/1000000110_main_096.jpg
1000000111,매화 3송이 3호,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000111/image/list/1000000111_list_056.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000111/image/detail/1000000111_detail_127.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000111,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000111/image/main/1000000111_main_031.jpg
1000000112,매화 5송이 2호,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/detail/1000000112_detail_120.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000112,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/main/1000000112_main_098.jpg
1000000113,매화 5송이 3호,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/detail/1000000113_detail_14.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000113,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/main/1000000113_main_024.jpg
1000000121,깨송편 1kg,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/list/1000000121_list_089.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/detail/1000000121_detail_063.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000121,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/main/1000000121_main_073.jpg
1000000127,흑임자이티,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000127/image/list/1000000127_list_053.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000127/image/detail/1000000127_detail_026.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000127,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000127/image/main/1000000127_main_063.jpg
1000000128,흑임자인절미,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/list/1000000128_list_033.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/detail/1000000128_detail_028.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000128,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/main/1000000128_main_06.jpg
1000000143,"경기참기름, 경기들기름",GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000143/image/list/1000000143_list_079.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000143/image/detail/1000000143_detail_029.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000143,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000143/image/main/1000000143_main_078.jpg
1000000154,화연상,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000154/image/list/1000000154_list_031.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000154/image/detail/1000000154_detail_08.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000154,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000154/image/main/1000000154_main_06.jpg
1000000156,기원상,GODOMALL5,selling,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000156/image/list/1000000156_list_085.jpg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000156/image/detail/1000000156_detail_057.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000156,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000156/image/main/1000000156_main_05.jpg
