snapshot_date,product_id,profile_role_primary,profile_role_secondary,profile_confidence,role_state_primary,role_state_confidence,pgm_observed_flag
2026-04-17,1000000064,entry,convergence,0.4061890838206628,entry,0.4061890838206628,true
2026-04-17,1000000045,return,convergence,0.3520808351471089,return,0.3520808351471089,true
2026-04-17,1000000093,entry,convergence,0.45706868623248337,entry,0.45706868623248337,true
2026-04-17,1000000087,convergence,return,0.32118051979010037,convergence,0.32118051979010037,true
2026-04-17,1000000086,expansion,return,0.5185911746224172,expansion,0.5185911746224172,true
2026-04-17,1000000043,convergence,return,0.35194569607693627,convergence,0.35194569607693627,true
2026-04-17,1000000111,entry,expansion,0.3182170936304147,entry,0.3182170936304147,true
2026-04-17,1000000088,expansion,convergence,0.35446307100734803,expansion,0.35446307100734803,true
2026-04-17,1000000042,convergence,expansion,0.45017959674962343,convergence,0.45017959674962343,true
2026-04-17,1000000108,expansion,convergence,0.3005408113009267,expansion,0.3005408113009267,true
2026-04-17,1000000044,return,convergence,0.37911746541682656,return,0.37911746541682656,true
2026-04-17,1000000085,expansion,convergence,0.35088720690479075,expansion,0.35088720690479075,true
2026-04-17,1000000063,return,expansion,0.31837016134568713,return,0.31837016134568713,true
2026-04-17,1000000091,expansion,convergence,0.32541811088255945,expansion,0.32541811088255945,true
2026-04-17,1000000094,expansion,entry,0.3955437870846537,expansion,0.3955437870846537,true
2026-04-17,1000000089,expansion,return,0.6221833618222075,expansion,0.6221833618222075,true
2026-04-17,1000000121,return,expansion,0.33176107286688666,return,0.33176107286688666,true
2026-04-17,1000000083,return,expansion,0.49572323485785236,return,0.49572323485785236,true
2026-04-17,1000000062,convergence,expansion,0.40953303025439153,convergence,0.40953303025439153,true
2026-04-17,1000000065,return,expansion,0.6634059337474444,return,0.6634059337474444,true
