as_of_date,window_key,window_days,period_label,product_id,product_name,brand_score,brand_score_status,confidence,numeric_display_policy,event_freshness_gap_days,basket_freshness_gap_days,status_cap_reason,entry_axis,expansion_axis,convergence_axis,return_axis,basket_axis,basket_top_pair_product_id,reconstruction_level,parity_level,limitation_reason,limitation_reason_detail,reconstructed_product_signal,contribution_share,brand_score_note
2026-04-18,1d,1,하루 기준,1000000088,백리향 2단 (1호 2호),,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.22078432138792561,0.34820746793690766,0.36750142251202605,0.10541310541310542,0.1103448275862069,1000000087,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.11232661228212244,0.03587275724666242,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000094,매화 3송이 1호,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.16186108788756395,0.2562874214007564,0.161074674136616,0.10323070142350553,0.23469387755102042,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.10873358799790231,0.03472528484176638,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000111,매화 3송이 3호,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.3208852359596403,0.30306932442442236,0.30687895167109863,0.09763313609467456,0.16853932584269662,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.10481517193862974,0.03347389494199211,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000043,모듬영양찰떡,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.08558124412365992,0.2767786572059919,0.40486881395941593,0.3284037223611674,0.8426966292134831,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.09721121852484223,0.031045487555836627,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000127,흑임자이티,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.10546573453393789,0.1644158182016456,0.08743814502947761,0.20691786644424787,0.8914728682170543,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.09617240762403578,0.030713731701077825,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000042,약식,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.08371760449847966,0.3107777374308895,0.4854866406150312,0.14843921457836667,0.7721518987341772,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.09452104307362133,0.030186350001948723,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000092,일리향 3단,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.07734203607961962,0.20653067239955608,0.1403555364370946,0.08105599387737682,0.379746835443038,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.08265222252503973,0.026395909698504885,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000112,매화 5송이 2호,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.07684220613299411,0.1618979074094938,0.08252005935812662,0.1652019463362182,0.21951219512195122,1000000113,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.08107805201914682,0.025893180779013206,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000113,매화 5송이 3호,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.08447262441079666,0.20699035081544917,0.07354360682188857,0.1267287862135403,0.18333333333333332,1000000112,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.07759401903145861,0.02478051596105542,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000121,깨송편 1kg,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.06621769073235362,0.2031461742707357,0.18291014342487721,0.2211114821994402,0.7878787878787878,1000000045,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.07498527640339078,0.023947384888067545,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
