as_of_date,product_id,product_name,product_image_url,role_taxonomy,role_score,role_evidence_status,role_reason,entry_score,expansion_score,repeat_score,basket_score,primary_axis_label,primary_axis_value,entry_support_count,expansion_support_count,repeat_support_count,basket_support_count,transition_customer_cnt,transition_support_rate,return_loop_cnt,basket_pair_cnt
2026-04-18,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,반복구매기여,0.319805850502194,available,score 0.32,0.0315237574010326,0.22565500811434805,0.319805850502194,0.12578616352201258,반복구매기여,0.319805850502194,77,36,6,60,36,0.05194805194805195,6,60
2026-04-18,1000000084,십리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000084/image/list/1000000084_list_028.jpg,재구매확장기여,0.14228575611546665,available,score 0.14,0.07908415336069927,0.14228575611546665,0.04033042973794406,0.09164420485175202,재구매확장기여,0.14228575611546665,149,36,5,50,36,0.026845637583892617,5,50
2026-04-18,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,재구매확장기여,0.2976514402094702,available,score 0.30,0.17730594305752997,0.2976514402094702,0.15866281461059184,0.12488769092542677,재구매확장기여,0.2976514402094702,321,134,37,60,134,0.056074766355140186,37,60
2026-04-18,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,재구매확장기여,0.636366335238421,available,score 0.64,0.10854651565563585,0.636366335238421,0.27379006433121983,0.06558849955076371,재구매확장기여,0.636366335238421,199,118,43,48,118,0.10552763819095477,43,48
2026-04-18,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,반복구매기여,0.31065694974688807,available,score 0.31,0.2485038201962452,0.27738213868511025,0.31065694974688807,0.13836477987421383,반복구매기여,0.31065694974688807,455,164,66,70,164,0.06593406593406594,66,70
2026-04-18,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,재구매확장기여,0.34820746793690766,available,score 0.35,0.22078432138792561,0.34820746793690766,0.10541310541310542,0.10332434860736747,재구매확장기여,0.34820746793690766,351,168,56,54,168,0.10256410256410256,56,54
2026-04-18,1000000089,백리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/list/1000000089_list_027.jpg,재구매확장기여,0.41877115875706206,available,score 0.42,0.023261506705951566,0.41877115875706206,0.17092700357431104,0.015274034141958671,재구매확장기여,0.41877115875706206,49,30,6,22,30,0.08163265306122448,6,22
2026-04-18,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,동시구매기여,0.11141060197663971,available,score 0.11,0.06018415133321831,0.10582468416780161,0.0234375,0.11141060197663971,동시구매기여,0.11141060197663971,128,24,3,50,24,0.0234375,3,50
2026-04-18,1000000091,일리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000091/image/list/1000000091_list_092.jpg,재구매확장기여,0.24675915334384432,available,score 0.25,0.18619799266191264,0.24675915334384432,0.1398861413513857,0.12039532794249776,재구매확장기여,0.24675915334384432,181,72,17,48,72,0.055248618784530384,17,48
2026-04-18,1000000092,일리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,재구매확장기여,0.20653067239955608,available,score 0.21,0.07734203607961962,0.20653067239955608,0.08105599387737682,0.06828391734052111,재구매확장기여,0.20653067239955608,148,52,14,42,52,0.05405405405405406,14,42
2026-04-18,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,첫구매기여,0.6443090477930735,available,score 0.64,0.6443090477930735,0.29875331266377814,0.1087866108786611,0.13836477987421383,첫구매기여,0.6443090477930735,717,254,103,56,254,0.10739191073919108,103,56
2026-04-18,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,재구매확장기여,0.2562874214007564,available,score 0.26,0.16186108788756395,0.2562874214007564,0.10323070142350553,0.055705300988319856,재구매확장기여,0.2562874214007564,185,76,20,52,76,0.08648648648648649,20,52
2026-04-18,1000000108,매화 2송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000108/image/list/1000000108_list_020.jpg,재구매확장기여,0.2895687172126886,available,score 0.29,0.22993695553342763,0.2895687172126886,0.22300247763780415,0.06019766397124888,재구매확장기여,0.2895687172126886,245,106,46,40,106,0.09795918367346938,46,40
2026-04-18,1000000110,매화 3송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/list/1000000110_list_026.jpg,재구매확장기여,0.155867544958705,available,score 0.16,0.0513052170772004,0.155867544958705,0.0821917808219178,0.03773584905660377,재구매확장기여,0.155867544958705,73,24,10,44,24,0.0821917808219178,10,44
2026-04-18,1000000111,매화 3송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000111/image/list/1000000111_list_056.jpg,첫구매기여,0.3208852359596403,available,score 0.32,0.3208852359596403,0.30306932442442236,0.09763313609467456,0.0880503144654088,첫구매기여,0.3208852359596403,338,142,39,48,142,0.09763313609467456,39,48
2026-04-18,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,반복구매기여,0.1652019463362182,available,score 0.17,0.07684220613299411,0.1618979074094938,0.1652019463362182,0.04582210242587601,반복구매기여,0.1652019463362182,96,30,10,52,30,0.03125,10,52
2026-04-18,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,재구매확장기여,0.20699035081544917,available,score 0.21,0.08447262441079666,0.20699035081544917,0.1267287862135403,0.0440251572327044,재구매확장기여,0.20699035081544917,102,40,14,46,40,0.0784313725490196,14,46
2026-04-18,1000000121,깨송편 1kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/list/1000000121_list_089.jpg,반복구매기여,0.2211114821994402,available,score 0.22,0.06621769073235362,0.2031461742707357,0.2211114821994402,0.18508535489667566,반복구매기여,0.2211114821994402,184,60,36,58,60,0.09239130434782608,36,58
2026-04-18,1000000127,흑임자이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000127/image/list/1000000127_list_053.jpg,동시구매기여,0.41868823000898475,available,score 0.42,0.10546573453393789,0.1644158182016456,0.20691786644424787,0.41868823000898475,동시구매기여,0.41868823000898475,244,60,16,62,60,0.05737704918032787,16,62
2026-04-18,1000000128,흑임자인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/list/1000000128_list_033.jpg,재구매확장기여,0.13004946933649245,available,score 0.13,0.019246950830977536,0.13004946933649245,0.07372418896626555,0.12219227313566937,재구매확장기여,0.13004946933649245,62,18,1,62,18,0.016129032258064516,1,62
2026-04-18,1000000142,경기 미숫가루,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000142/image/list/1000000142_list_011.jpg,재구매확장기여,0.14280735956123078,available,score 0.14,0.009827090661355396,0.14280735956123078,0,0.055705300988319856,재구매확장기여,0.14280735956123078,35,7,0,46,7,0.05714285714285714,0,46
2026-04-18,1000000143,"경기참기름, 경기들기름",https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000143/image/list/1000000143_list_079.jpg,반복구매기여,0.12177161221123269,available,score 0.12,0.00839022366002394,0.11933617996700802,0.12177161221123269,0.0431266846361186,반복구매기여,0.12177161221123269,26,5,1,36,5,0.07692307692307693,1,36
2026-04-18,1000000153,유밀상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000153/image/list/1000000153_list_092.jpg,재구매확장기여,0.12474474732117659,available,score 0.12,0.008944770091401405,0.12474474732117659,0.05454545454545454,0.019766397124887692,재구매확장기여,0.12474474732117659,55,8,5,4,8,0.05454545454545454,5,4
2026-04-18,1000000154,화연상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000154/image/list/1000000154_list_031.jpg,재구매확장기여,0.11684975506033066,available,score 0.12,0.005914762253137116,0.11684975506033066,0.10526315789473684,0.004492362982929021,재구매확장기여,0.11684975506033066,38,6,5,4,6,0.10526315789473684,5,4
2026-04-18,1000000156,기원상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000156/image/list/1000000156_list_085.jpg,재구매확장기여,0.18521217740072787,available,score 0.19,0.012934400326602926,0.18521217740072787,0.14084507042253522,0.017070979335130278,재구매확장기여,0.18521217740072787,71,14,20,4,14,0.14084507042253522,20,4
