as_of_date,product_id,product_name,product_image_url,priority_level,priority_sort_score,revenue_change_rate_30d,revenue_30d_compare_state,revenue_30d_compare_note,revenue_reason,role_taxonomy,role_reason,role_evidence_status,brand_score_status,brand_score_reason,revenue_freshness_max_date,role_freshness_max_date,brand_revenue_30d_current,brand_revenue_30d_previous,brand_revenue_30d_delta_rate
2026-04-18,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,정상 유지,-12250000,0.046935883811548,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 4.7%,동시구매기여,동시구매기여 기준 score 0.40,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,정상 유지,-41800000,0.18440327445066781,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 18.4%,재구매확장기여,재구매확장기여 기준 score 0.64,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000062,흰이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,주의 관찰,21700000,-0.08008130081300813,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -8.0%,동시구매기여,동시구매기여 기준 score 0.34,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,즉시 확인,96900000,-0.29602774274905425,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -29.6%,동시구매기여,동시구매기여 기준 score 0.11,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000084,십리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000084/image/list/1000000084_list_028.jpg,즉시 확인,537100000,-0.7063880439095358,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -70.6%,재구매확장기여,재구매확장기여 기준 score 0.14,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,정상 유지,-69850000,0.4747068676716918,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 47.5%,동시구매기여,동시구매기여 기준 score 0.63,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000042,약식,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,정상 유지,5950000,-0.02819709484477357,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -2.8%,동시구매기여,동시구매기여 기준 score 0.42,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000127,흑임자이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000127/image/list/1000000127_list_053.jpg,정상 유지,1800000,-0.0047100382690609364,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -0.5%,동시구매기여,동시구매기여 기준 score 0.42,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,정상 유지,-43050000,0.49272930648769575,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 49.3%,동시구매기여,동시구매기여 기준 score 0.37,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000092,일리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,즉시 확인,182900000,-0.6100373007799254,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -61.0%,재구매확장기여,재구매확장기여 기준 score 0.21,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
